SERVICE_KEY,STOP_HOURS,FROM_LOCATION_ID,TO_LOCATION_ID,COUNT,P05,P25,P50,P75,P95
S,7,436,439,25,22,24,25,26,29.799999999999997
S,7,440,435,25,21.200000000000003,22,24,25,26.799999999999997
S,7,449,446,24,21,21,23,23.25,25
S,7,453,456,25,22,24,25,26,28.799999999999997
S,7,457,454,26,25.25,28,30,32.75,34
S,7,459,7853,25,38.199999999999996,41,44,47,51
S,7,460,457,26,23,26.25,29,30,33.5
S,7,4775,4773,22,21,22,23,25,27.95
S,7,5007,5020,38,34,42,48.5,53.75,60
S,7,5014,5012,38,24,27,32,34.75,38.19999999999999
S,7,5020,5017,23,35.4,50,54,74,84
S,7,5067,5063,26,29.25,33,35,41,68.25
S,7,5069,5068,23,21,22,25,29.5,43.999999999999986
S,7,5077,5069,26,26.5,32,34.5,50.25,68.5
S,7,5080,5077,23,21.1,22.5,24,27,28
S,7,5146,10855,26,30.25,31,34.5,39.75,41
S,7,5227,5225,24,21.150000000000002,22.75,25,30.25,34.849999999999994
S,7,5229,5227,26,29.75,37,39,40,42
S,7,5231,5229,26,25.25,29,30,31,34
S,7,5236,4778,26,34,39,41,43,47
S,7,5238,5237,24,22,23,24.5,26.25,27.849999999999998
S,7,5379,241,25,47.400000000000006,51,57,67,75.39999999999999
S,7,5379,5377,26,27.5,31,37,44.5,55.25
S,7,5390,5466,39,27.9,30,41,46.5,62.300000000000004
S,7,5391,5481,24,25,29,30,32.25,35
S,7,5395,5433,26,31.25,34,37.5,39,41
S,7,5398,9792,26,31.25,34,36.5,41.25,48
S,7,5407,5493,26,21.25,25,27,29.75,36
S,7,5411,12957,26,23.25,28,35,46.25,54
S,7,5414,10910,24,23.15,26,29,32,44.94999999999999
S,7,5415,5414,26,22,24,25.5,27.75,31
S,7,5428,5426,26,23.5,26,27,29,34.75
S,7,5442,12949,26,21.5,25.25,27,28,29.75
S,7,5443,5442,22,21.049999999999997,23,24,25,65.5
S,7,5453,11071,26,26,26.25,28,30,34.75
S,7,5455,5453,26,24,26,27,30.75,41.25
S,7,5462,13547,39,25,27.5,30,32,34.2
S,7,5472,12397,26,35,39.25,47.5,69.5,89.75
S,7,5481,5479,24,24.15,26,28,31,38.85
S,7,5492,5488,24,25,27,29,32,35
S,7,5493,8851,25,23,24,26,28,33.39999999999999
S,7,5498,7898,26,44,49.25,58,65.25,73.25
S,7,5831,5835,23,24.1,27.5,29,31.5,78.59999999999998
S,7,5835,5837,25,22.599999999999998,26,27,30,34.8
S,7,6165,6166,32,22.099999999999998,25,39,58.75,72.35
S,7,6169,9600,26,39.75,44,47,60.75,76.5
S,7,6170,6171,22,21.049999999999997,29.25,36,44.75,50
S,7,6171,6173,27,21,25.5,30,35,41.099999999999994
S,7,6173,8935,37,22,23,25,27,30.99999999999998
S,7,627,12374,25,22.2,24,25,27,32.39999999999999
S,7,629,656,26,22.25,24,26,29,33.75
S,7,631,629,26,26.25,29.25,31.5,52.5,65.75
S,7,633,627,26,32,36,48.5,62.25,70.75
S,7,634,631,26,33.25,37,38,42,67
S,7,635,634,26,28.25,33,45.5,52.75,59.75
S,7,6398,8134,37,26,30,46,72,81.19999999999997
S,7,6427,6398,21,21,28,46,59,66
S,7,6444,6442,26,32.5,34,35,37.75,40.5
S,7,6445,6447,23,24.3,28.5,31,33,33.9
S,7,6447,7897,25,30.599999999999998,36,38,38,44.39999999999999
S,7,6503,6511,21,22,24,30,37,56
S,7,6507,6532,24,21,24,30.5,43,52.69999999999999
S,7,6511,6526,28,21,23,24,25,26.65
S,7,6515,6520,26,33,38,40,42.75,48.25
S,7,6516,4288,25,54.4,70,79,105,126.39999999999996
S,7,6526,6529,21,29,35,45,54,60
S,7,6529,11026,26,36.25,39.25,41,47.75,65.75
S,7,6750,6746,26,22.25,24,26,28,32
S,7,6765,6750,26,43,46,49.5,51,55
S,7,686,706,25,34.2,36,38,42,44.8
S,7,687,682,26,25,25,27,28,29.75
S,7,689,7631,26,61.5,103.25,115.5,118.75,122.75
S,7,689,782,25,48,69,104,113,129.79999999999995
S,7,690,781,25,39,42,46,49,52.599999999999994
S,7,691,8798,26,57,59.75,65.5,69.75,73.75
S,7,6911,5016,29,56.8,72,90,101,128.99999999999997
S,7,702,768,23,22.099999999999998,23,25,26.5,33.599999999999994
S,7,704,820,39,22.900000000000002,26,27,29.5,35.00000000000003
S,7,707,687,26,40,42.25,44,48,51.75
S,7,711,702,24,21,21,23,25,26.849999999999998
S,7,713,707,26,26.25,29,30.5,32.75,34
S,7,7157,7161,25,24,26,28,29,30.799999999999997
S,7,716,10791,23,21.1,23.5,26,35.5,50.8
