SERVICE_DATE,SERVICE_KEY,TRAIN,TRIP_NUMBER,bus,ROUTE_NUMBER,DIRECTION,ESTIMATED_LOAD,start_location,depart,end_location,arrive,ACT_ARR_TIME,ACT_DEP_TIME,STOP_TYPE,GPS_LONGITUDE,GPS_LATITUDE,delay,DOOR_OPEN_TIME
28SEP2017:00:00:00,W,403,1140,2653,4,1,31,7856,26660,2642,26993,26676,26714,3,-122.65870829999999,45.51271,38,0
28SEP2017:00:00:00,W,403,1690,3136,4,1,0,7856,65595,2642,65788,65601,65623,3,-122.6587017,45.512013333,22,0
28SEP2017:00:00:00,W,403,1690,3136,4,1,0,7856,65595,2642,65788,65641,65700,3,-122.6587383,45.512768333000004,59,0
28SEP2017:00:00:00,W,403,1850,3136,4,1,0,7856,82775,2642,82915,82791,82836,3,-122.65870829999999,45.512811667,45,0
29SEP2017:00:00:00,W,403,1140,2607,4,1,29,7856,26506,2642,26784,26526,26575,3,-122.65871829999999,45.512836666999995,49,0
29SEP2017:00:00:00,W,403,1690,3134,4,1,11,7856,65285,2642,65490,65301,65357,3,-122.65874,45.512828333,56,0
29SEP2017:00:00:00,W,403,1690,3134,4,1,11,7856,65285,2642,65490,65411,65454,3,-122.6604983,45.513006667,43,0
29SEP2017:00:00:00,W,403,1850,3134,4,1,9,7856,82889,2642,83064,82896,82916,3,-122.6586767,45.512036667,20,0
29SEP2017:00:00:00,W,403,1850,3134,4,1,9,7856,82889,2642,83064,82949,82979,3,-122.6587233,45.51282,30,0
01SEP2017:00:00:00,W,404,1170,3130,4,1,16,7856,27357,2642,27556,27369,27414,3,-122.65868329999999,45.51279,45,0
01SEP2017:00:00:00,W,404,1540,3561,4,1,4,7856,54576,2642,54785,54595,54630,3,-122.6587567,45.512811667,35,0
01SEP2017:00:00:00,W,404,1770,3561,4,1,15,7856,72931,2642,73066,72947,72974,3,-122.6587317,45.51282,27,0
05SEP2017:00:00:00,W,404,1170,2560,4,1,28,7856,28257,2642,28564,28274,28329,3,-122.6587467,45.512858333000004,55,0
